tick,year,month,day,population,awake,asleep,off,courtships_active,courtships_started,courtships_failed,courtships_completed,births,deaths,state_transitions,awake_to_asleep,asleep_to_awake,asleep_to_off
100,2026,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0
200,2026,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0
300,2026,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0
400,2026,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0
500,2026,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0
600,2026,1,1,2,2,0,0,1,1,0,0,2,0,0,0,0,0
700,2026,1,1,2,1,1,0,0,1,1,0,2,0,1,1,0,0
800,2026,1,1,2,1,1,0,0,1,1,0,2,0,1,1,0,0
900,2026,1,1,2,1,1,0,0,1,1,0,2,0,1,1,0,0
1000,2026,1,1,2,1,1,0,0,1,1,0,2,0,1,1,0,0
1100,2026,1,2,2,1,1,0,0,1,1,0,2,0,1,1,0,0
1200,2026,1,2,2,2,0,0,1,2,1,0,2,0,2,1,1,0
1300,2026,1,2,2,2,0,0,1,2,1,0,2,0,2,1,1,0
1400,2026,1,2,2,2,0,0,1,2,1,0,2,0,2,1,1,0
1500,2026,1,2,2,2,0,0,1,2,1,0,2,0,2,1,1,0
1600,2026,1,2,2,2,0,0,1,2,1,0,2,0,2,1,1,0
1700,2026,1,2,2,1,1,0,0,2,2,0,2,0,3,2,1,0
1800,2026,1,2,2,1,1,0,0,2,2,0,2,0,3,2,1,0
1900,2026,1,2,2,1,1,0,0,2,2,0,2,0,3,2,1,0
2000,2026,1,2,2,1,1,0,0,2,2,0,2,0,3,2,1,0
2100,2026,1,3,2,1,1,0,0,2,2,0,2,0,3,2,1,0
2200,2026,1,3,2,2,0,0,1,3,2,0,2,0,4,2,2,0
2300,2026,1,3,2,2,0,0,1,3,2,0,2,0,4,2,2,0
2400,2026,1,3,2,2,0,0,1,3,2,0,2,0,4,2,2,0
2500,2026,1,3,2,2,0,0,1,3,2,0,2,0,4,2,2,0
2600,2026,1,3,2,2,0,0,1,3,2,0,2,0,4,2,2,0
2700,2026,1,3,2,1,1,0,0,3,3,0,2,0,5,3,2,0
2800,2026,1,3,2,1,1,0,0,3,3,0,2,0,5,3,2,0
2900,2026,1,3,2,1,1,0,0,3,3,0,2,0,5,3,2,0
3000,2026,1,3,2,1,1,0,0,3,3,0,2,0,5,3,2,0
3100,2026,1,4,2,1,1,0,0,3,3,0,2,0,5,3,2,0
3200,2026,1,4,2,2,0,0,1,4,3,0,2,0,6,3,3,0
3300,2026,1,4,2,2,0,0,1,4,3,0,2,0,6,3,3,0
3400,2026,1,4,2,2,0,0,1,4,3,0,2,0,6,3,3,0
3500,2026,1,4,2,2,0,0,1,4,3,0,2,0,6,3,3,0
3600,2026,1,4,2,2,0,0,1,4,3,0,2,0,6,3,3,0
3700,2026,1,4,2,1,1,0,0,4,4,0,2,0,7,4,3,0
3800,2026,1,4,2,1,1,0,0,4,4,0,2,0,7,4,3,0
3900,2026,1,4,2,1,1,0,0,4,4,0,2,0,7,4,3,0
4000,2026,1,4,2,1,1,0,0,4,4,0,2,0,7,4,3,0
4100,2026,1,5,2,1,1,0,0,4,4,0,2,0,7,4,3,0
4200,2026,1,5,2,2,0,0,1,5,4,0,2,0,8,4,4,0
4300,2026,1,5,2,2,0,0,1,5,4,0,2,0,8,4,4,0
4400,2026,1,5,2,2,0,0,1,5,4,0,2,0,8,4,4,0
4500,2026,1,5,2,2,0,0,1,5,4,0,2,0,8,4,4,0
4600,2026,1,5,2,2,0,0,1,5,4,0,2,0,8,4,4,0
4700,2026,1,5,2,1,1,0,0,5,5,0,2,0,9,5,4,0
4800,2026,1,5,2,1,1,0,0,5,5,0,2,0,9,5,4,0
4900,2026,1,5,2,1,1,0,0,5,5,0,2,0,9,5,4,0
5000,2026,1,5,2,1,1,0,0,5,5,0,2,0,9,5,4,0
5100,2026,1,6,2,1,1,0,0,5,5,0,2,0,9,5,4,0
5200,2026,1,6,2,2,0,0,1,6,5,0,2,0,10,5,5,0
5300,2026,1,6,2,2,0,0,1,6,5,0,2,0,10,5,5,0
5400,2026,1,6,2,2,0,0,1,6,5,0,2,0,10,5,5,0
5500,2026,1,6,2,2,0,0,1,6,5,0,2,0,10,5,5,0
5600,2026,1,6,2,2,0,0,1,6,5,0,2,0,10,5,5,0
5700,2026,1,6,2,1,1,0,0,6,6,0,2,0,11,6,5,0
5800,2026,1,6,2,1,1,0,0,6,6,0,2,0,11,6,5,0
5900,2026,1,6,2,1,1,0,0,6,6,0,2,0,11,6,5,0
6000,2026,1,6,2,1,1,0,0,6,6,0,2,0,11,6,5,0
6100,2026,1,7,2,1,1,0,0,6,6,0,2,0,11,6,5,0
6200,2026,1,7,2,2,0,0,1,7,6,0,2,0,12,6,6,0
6300,2026,1,7,2,2,0,0,1,7,6,0,2,0,12,6,6,0
6400,2026,1,7,2,2,0,0,1,7,6,0,2,0,12,6,6,0
6500,2026,1,7,2,2,0,0,1,7,6,0,2,0,12,6,6,0
6600,2026,1,7,2,2,0,0,1,7,6,0,2,0,12,6,6,0
6700,2026,1,7,2,1,1,0,0,7,7,0,2,0,13,7,6,0
6800,2026,1,7,2,1,1,0,0,7,7,0,2,0,13,7,6,0
6900,2026,1,7,2,1,1,0,0,7,7,0,2,0,13,7,6,0
7000,2026,1,7,2,1,1,0,0,7,7,0,2,0,13,7,6,0
7100,2026,1,8,2,1,1,0,0,7,7,0,2,0,13,7,6,0
7200,2026,1,8,2,2,0,0,1,8,7,0,2,0,14,7,7,0
7300,2026,1,8,2,2,0,0,1,8,7,0,2,0,14,7,7,0
7400,2026,1,8,2,2,0,0,1,8,7,0,2,0,14,7,7,0
7500,2026,1,8,2,2,0,0,1,8,7,0,2,0,14,7,7,0
7600,2026,1,8,2,2,0,0,1,8,7,0,2,0,14,7,7,0
7700,2026,1,8,2,1,1,0,0,8,8,0,2,0,15,8,7,0
7800,2026,1,8,2,1,1,0,0,8,8,0,2,0,15,8,7,0
7900,2026,1,8,2,1,1,0,0,8,8,0,2,0,15,8,7,0
8000,2026,1,8,2,1,1,0,0,8,8,0,2,0,15,8,7,0
8100,2026,1,9,2,1,1,0,0,8,8,0,2,0,15,8,7,0
8200,2026,1,9,2,2,0,0,1,9,8,0,2,0,16,8,8,0
8300,2026,1,9,2,2,0,0,1,9,8,0,2,0,16,8,8,0
8400,2026,1,9,2,2,0,0,1,9,8,0,2,0,16,8,8,0
